
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199002  -6.66  -5.91  -7.01  -6.16  -6.88  -5.45  -6.23  -5.81  -7.38  -4.65
199003  -9.10  -7.34 -10.43  -6.63  -9.84  -6.88 -11.42  -9.32  -7.98 -11.13
199004  -1.73  -1.38  -1.49  -1.25  -2.60  -1.40  -0.41  -0.48  -3.40  -0.68
199005  11.32   9.77  12.59  10.15  13.20   9.04  13.25  10.89  12.16  14.15
199006  -0.63   0.52  -1.17   0.07  -0.95   0.08  -0.52  -1.07   0.33  -5.71
199007   2.19   2.24   2.41   1.58   2.56   0.70   2.65   2.21   2.39   3.13
199008 -10.11 -10.91  -9.84 -11.14 -10.77  -9.74 -10.69  -9.19  -9.63 -14.39
199009 -13.50 -13.05 -14.77 -13.87 -13.78 -12.75 -13.38 -13.53 -14.59 -17.36
199010  15.55  12.72  16.12  12.61  18.65  14.01  18.13  13.85  14.65  23.75
199011  -5.76  -5.70  -6.69  -4.71  -8.34  -6.17  -8.03  -6.52  -4.85 -13.25
199012   1.48   0.14   2.36   0.67   2.18   1.57   0.51   1.35   2.14   3.48
199101   3.13   3.21   3.03   3.00   1.82   3.26   2.02   3.39   3.32   4.58
199102   9.85  13.25   7.86  13.65   9.36  11.32  10.91  12.77   6.52  16.87
199103  -5.06  -5.47  -4.83  -5.26  -5.13  -5.47  -5.67  -5.74  -4.05  -6.90
199104   1.60   1.29   1.38   1.14   0.69   0.41   1.09   1.17   2.09   0.26
199105  -0.38  -1.01  -0.61  -1.17  -1.08  -0.85  -1.15  -0.33  -0.49   0.85
199106  -6.73  -6.92  -7.01  -6.11  -7.04  -5.35  -6.72  -6.76  -6.60  -9.10
199107   4.80   5.49   4.16   5.09   3.87   4.62   4.45   4.92   4.02   5.09
199108  -2.01  -2.65  -1.72  -2.44  -2.55  -1.79  -3.58  -2.18  -2.00  -2.13
199109   5.20   5.65   4.66   5.40   5.19   3.95   8.31   6.16   3.84   7.15
199110   1.85   0.48   3.34   0.47   2.58   0.36   2.20   0.00   4.27   0.15
199111  -4.31  -6.05  -4.04  -5.62  -3.29  -4.22  -5.58  -5.38  -3.38  -6.37
199112   4.89   4.44   5.38   4.37   5.42   4.16   6.32   5.19   5.01   5.11
199201  -2.55   0.21  -3.52  -0.28  -4.03  -1.05  -1.73  -1.35  -3.49  -3.02
199202  -3.24  -3.26  -3.58  -2.52  -4.17  -2.04  -1.83  -3.11  -4.05  -2.78
199203  -6.40  -5.98  -6.96  -5.42  -7.41  -5.29  -6.13  -5.99  -7.27  -7.84
199204   0.23   4.77  -2.37   3.58  -2.61   4.36  -0.42   3.20  -2.79  -1.47
