date,us_equity,intl_equity,bonds,cash,inflation
1999-05,-0.000988,-0.000988,-0.022361,0.003400,0.000000
1999-06,-0.006118,-0.006118,0.013201,0.004000,0.000000
1999-07,0.045228,0.045228,-0.006396,0.003800,0.003008
1999-08,-0.037740,-0.037740,0.006447,0.003900,0.002400
1999-09,-0.005976,-0.005976,-0.009172,0.003900,0.004788
1999-10,-0.012724,-0.012724,0.011052,0.003900,0.001787
1999-11,0.071061,0.071061,-0.013393,0.003600,0.000595
1999-12,0.028088,0.028088,-0.022293,0.004400,0.000000
2000-01,-0.001188,-0.001188,0.015755,0.004100,0.002971
2000-02,-0.024779,-0.024779,0.024606,0.004300,0.005924
2000-03,0.039411,0.039411,0.025369,0.004700,0.008245
2000-04,0.014245,0.014245,-0.027926,0.004600,0.000584
2000-05,-0.028389,-0.028389,0.030618,0.005000,0.001168
2000-06,0.031634,0.031634,0.008805,0.004000,0.005248
2000-07,0.008497,0.008497,0.021580,0.004800,0.002320
2000-08,0.009391,0.009391,0.007117,0.005000,0.000000
2000-09,-0.010803,-0.010803,0.009362,0.005100,0.005208
2000-10,-0.052144,-0.052144,0.006294,0.005600,0.001727
2000-11,-0.007727,-0.007727,0.041828,0.005100,0.000575
2000-12,-0.033202,-0.033202,0.010566,0.005000,-0.000574
2001-01,0.004544,0.004544,0.008962,0.005400,0.006322
2001-02,-0.021369,-0.021369,0.020726,0.003800,0.003998
2001-03,-0.090805,-0.090805,-0.015316,0.004200,0.002275
2001-04,0.004480,0.004480,-0.014888,0.003900,0.003973
2001-05,0.068787,0.068787,0.012969,0.003200,0.004522
2001-06,-0.023893,-0.023893,0.007488,0.002800,0.001688
2001-07,-0.026601,-0.026601,0.025472,0.003000,-0.002809
2001-08,-0.020457,-0.020457,0.023110,0.003100,0.000000
2001-09,-0.112472,-0.112472,0.016681,0.002800,0.004507
2001-10,0.031840,0.031840,-0.002538,0.002200,-0.003365
2001-11,0.050531,0.050531,-0.030331,0.001700,-0.001688
2001-12,0.014660,0.014660,0.008138,0.001500,-0.003946
2002-01,-0.002977,-0.002977,0.014390,0.001400,0.002264
2002-02,-0.033528,-0.033528,-0.024425,0.001300,0.003953
2002-03,0.049452,0.049452,0.009812,0.001300,0.005624
2002-04,-0.035137,-0.035137,0.008216,0.001500,0.005593
2002-05,-0.028196,-0.028196,0.022312,0.001400,0.000000
2002-06,-0.059202,-0.059202,0.026319,0.001300,0.000556
2002-07,-0.107592,-0.107592,0.035374,0.001500,0.001112
2002-08,0.011381,0.011381,0.035626,0.001400,0.003331
2002-09,-0.047585,-0.047585,-0.002513,0.001400,0.001660
2002-10,-0.013662,-0.013662,-0.005688,0.001400,0.001657
2002-11,0.066265,0.066265,0.005008,0.001200,0.000000
2002-12,-0.010342,-0.010342,0.001727,0.001100,-0.002206
2003-01,-0.002221,-0.002221,0.015695,0.001000,0.004422
2003-02,-0.064144,-0.064144,0.010673,0.000900,0.007705
2003-03,0.013084,0.013084,-0.009110,0.001000,0.006008
2003-04,0.052857,0.052857,0.035830,0.001000,-0.002172
2003-05,0.053121,0.053121,0.023221,0.000900,-0.001632
2003-06,0.057040,0.057040,-0.050412,0.001000,0.001090
2003-07,0.005971,0.005971,-0.034312,0.000700,0.001089
2003-08,-0.001651,-0.001651,0.018240,0.000700,0.003806
2003-09,0.031624,0.031624,0.001945,0.000800,0.003250
2003-10,0.020300,0.020300,0.002769,0.000700,-0.001080
2003-11,0.012127,0.012127,0.006005,0.000700,-0.002703
2003-12,0.030659,0.030659,0.013300,0.000800,-0.001084
2004-01,0.049366,0.049366,0.009160,0.000700,0.004883
2004-02,0.010882,0.010882,0.024000,0.000600,0.005400
2004-03,-0.015637,-0.015637,-0.038633,0.000900,0.006445
2004-04,0.009696,0.009696,-0.025631,0.000800,0.003202
2004-05,-0.025628,-0.025628,0.003143,0.000600,0.005851
2004-06,0.028591,0.028591,0.022313,0.000800,0.003173
2004-07,-0.022374,-0.022374,0.021502,0.001000,-0.001581
2004-08,-0.013862,-0.013862,0.015755,0.001100,0.000528
2004-09,0.027841,0.027841,0.005883,0.001100,0.002111
2004-10,0.001033,0.001033,-0.003876,0.001100,0.005266
2004-11,0.047746,0.047746,0.000256,0.001500,0.000524
2004-12,0.027281,0.027281,0.004334,0.001600,-0.003665
2005-01,-0.013474,-0.013474,0.007572,0.001600,0.002102
2005-02,0.016831,0.016831,-0.022884,0.001600,0.005768
2005-03,-0.002538,-0.002538,0.016625,0.002100,0.007821
2005-04,-0.024073,-0.024073,0.019860,0.002100,0.006725
2005-05,0.013375,0.013375,0.014895,0.002400,-0.001028
2005-06,0.021823,0.021823,-0.011259,0.002300,0.000514
2005-07,0.018090,0.018090,-0.002978,0.002400,0.004627
2005-08,0.003112,0.003112,0.008410,0.003000,0.005118
2005-09,0.002809,0.002809,-0.017306,0.002900,0.012220
2005-10,-0.026225,-0.026225,-0.002662,0.002700,0.002012
2005-11,0.039633,0.039633,0.009382,0.003100,-0.008032
2005-12,0.021458,0.021458,0.007734,0.003200,-0.004049
2006-01,0.014680,0.014680,-0.008259,0.003500,0.007622
2006-02,-0.000154,-0.000154,-0.008052,0.003400,0.002017
2006-03,0.014874,0.014874,-0.017153,0.003700,0.005536
2006-04,0.007997,0.007997,-0.005162,0.003600,0.008509
2006-05,-0.007852,-0.007852,0.004258,0.004300,0.004963
2006-06,-0.027044,-0.027044,0.005813,0.004000,0.001975
2006-07,0.007215,0.007215,0.020725,0.004000,0.002957
2006-08,0.022932,0.022932,0.016718,0.004200,0.001966
2006-09,0.025326,0.025326,0.003143,0.004100,-0.004904
2006-10,0.036176,0.036176,0.014278,0.004100,-0.005421
2006-11,0.020032,0.020032,0.007020,0.004200,-0.001487
2006-12,0.021498,0.021498,-0.011985,0.004000,0.001489
2007-01,0.006940,0.006940,0.007129,0.004400,0.003053
2007-02,0.015972,0.015972,0.016678,0.003800,0.005350
2007-03,-0.024727,-0.024727,-0.006493,0.004300,0.009106
2007-04,0.041816,0.041816,-0.000829,0.004400,0.006496
2007-05,0.033930,0.033930,-0.023239,0.004100,0.006111
2007-06,0.003462,0.003462,0.012056,0.004000,0.001938
2007-07,0.005761,0.005761,0.030320,0.004000,-0.000254
2007-08,-0.041996,-0.041996,0.015862,0.004200,-0.001834
2007-09,0.030763,0.030763,0.002969,0.003200,0.002756
2007-10,0.029930,0.029930,0.034624,0.003200,0.002139
2007-11,-0.048050,-0.048050,0.007527,0.003400,0.005940
2007-12,0.012396,0.012396,0.033206,0.002700,-0.000671
2008-01,-0.066341,-0.066341,0.003117,0.002100,0.004971
2008-02,-0.015628,-0.015628,0.022355,0.001300,0.002904
2008-03,-0.026255,-0.026255,-0.011182,0.001700,0.008668
2008-04,0.042447,0.042447,-0.013375,0.001800,0.006065
